Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Ivan Castillo","KCR","2B","-1","27.375",,44,"55 / 55","30 / 30","40 / 40","50 / 50","35+",447,0.32207207,0.34693878,0.10459184,0.10067114,0.11856823,80.7688201638745,"15971"
"Ali Sanchez","DET","C","AAA","25.7361111",,22,"35 / 40","30 / 30","40 / 40","30 / 30","40",291,0.35395189,0.38888889,0.12698413,0.12027491,0.26460481,101.04073504523575,"18551"
"Brendon Davis","DET","SS","AAA","25.2138888",,30,"30 / 30","45 / 45","60 / 60","40 / 40","35+",589,0.33955857,0.42345924,0.18886679,0.12393888,0.22920204,99.45035087777858,"18587"
"Donny Sands","PHI","C","MLB","26.4138888",,16,"45 / 45","45 / 45","55 / 55","20 / 20","40",253,0.41106719,0.44075829,0.13270142,0.1541502,0.18181818,132.33411093975022,"18603"
"Yohel Pozo","TEX","C","AAA","25.3361111",,31,"55 / 55","30 / 30","50 / 50","20 / 20","35+",267,0.35205993,0.4743083,0.1541502,0.0411985,0.11985019,103.94659263380667,"18848"
"Lucius Fox","WSN","SS","AAA","25.2861111",,35,"40 / 40","30 / 30","40 / 40","70 / 70","35+",245,0.32098765,0.35185185,0.11111111,0.09387755,0.25714286,81.40156263221488,"18899"
"Simon Muzziotti","PHI","CF","MLB","23.8",,18,"45 / 50","30 / 40","45 / 50","60 / 60","40",194,0.32989691,0.41420118,0.16568047,0.11340206,0.19587629,102.76541747640458,"19553"
"Otto Lopez","TOR","2B","MLB","24.0388888",,14,"55 / 60","20 / 30","40 / 45","60 / 60","40",413,0.3649635,0.39444444,0.11111111,0.10411622,0.15738499,105.66561453954282,"19608"
"Esteban Quiroz","CHC","2B","AAA","30.6611111",,52,"55 / 55","35 / 35","45 / 45","40 / 40","35+",160,0.39375,0.36507937,0.11904762,0.16875,0.21875,109.82008858202194,"19780"
"Cody Thomas","OAK","RF","AAA","28.0194444",,26,"30 / 35","45 / 55","60 / 60","55 / 55","40",59,0.27118644,0.33333333,0.1372549,0.08474576,0.28813559,53.521014276432915,"19828"
"Rene Pinto","TBR","C","MLB","25.9527777",,19,"35 / 40","40 / 45","50 / 50","20 / 20","40+",306,0.32026144,0.5212766,0.25531915,0.07189542,0.26797386,116.20663185115954,"19859"
"Greg Deichmann","CHC","RF","-1","27.375",,54,"35 / 40","45 / 50","70 / 70","45 / 45","35+",282,0.27142857,0.33463035,0.12062257,0.07092199,0.32269504,59.86351086076196,"19872"
"Connor Wong","BOS","C","MLB","26.4055555",,22,"30 / 35","40 / 45","50 / 50","50 / 50","40",355,0.34929577,0.48916409,0.20123839,0.07605634,0.22535211,120.90231953165986,"19896"
"Khalil Lee","NYM","RF","MLB","24.3027777",,17,"30 / 40","35 / 50","55 / 60","55 / 55","40",453,0.32964602,0.36979167,0.15625,0.11037528,0.33112583,92.02674186886004,"19952"
"Colton Welker","COL","3B","AAA","25.0166666",,25,"55 / 60","35 / 40","50 / 50","30 / 30","40",45,0.42222222,0.51351351,0.18918919,0.13333333,0.15555556,135.54892613827624,"19961"
"Eguy Rosario","SDP","3B","MLB","23.1388888",,7,"40 / 45","30 / 40","45 / 45","40 / 40","40",564,0.36767318,0.50816327,0.22040817,0.10460993,0.19326241,115.63455581999831,"19964"
"Jared Oliva","PIT","CF","AAA","26.8833333",,34,"40 / 40","40 / 45","55 / 55","60 / 60","40",349,0.32378223,0.42946708,0.1630094,0.06876791,0.22063037,98.60279119037611,"19968"
"Miles Mastrobuoni","TBR","SS","MLB","26.9583333",,35,"55 / 55","30 / 30","30 / 30","50 / 50","40",573,0.37696335,0.46942801,0.16962525,0.10994764,0.16579407,126.250260833559,"20017"
"J.J. Matijevic","HOU","1B","MLB","26.9194444",,22,"40 / 40","50 / 55","60 / 60","40 / 40","35+",282,0.37234043,0.56097561,0.27642276,0.11702128,0.24113475,125.03135419272515,"20165"
"Miguel Vargas","LAD","3B","MLB","22.9111111",,10,"50 / 60","35 / 45","45 / 50","40 / 40","45",520,0.40384615,0.51141553,0.20776256,0.13653846,0.14615385,129.19051764173258,"20178"
"Mario Feliciano","MIL","C","AAA","23.9027777",,29,"45 / 45","35 / 40","50 / 55","30 / 30","35+",311,0.32580645,0.38596491,0.1122807,0.05787781,0.16720257,90.29565333608546,"20263"
"Royce Lewis","MIN","SS","MLB","23.3611111",70,2,"30 / 40","40 / 60","60 / 70","60 / 50","50",153,0.40522876,0.53435115,0.22137405,0.11764706,0.20915033,149.16991869431374,"20437"
"Brewer Hicklen","KCR","LF","MLB","26.6833333",,30,"30 / 35","40 / 45","55 / 55","70 / 70","40",559,0.34767025,0.50208333,0.25416666,0.10375671,0.36135957,122.38400610174095,"20450"
"Drew Waters","KCR","CF","MLB","23.7916666",,11,"30 / 35","40 / 45","55 / 55","60 / 60","40+",365,0.34520548,0.45987654,0.19135802,0.10136986,0.27671233,112.87221771841432,"20505"
"Nolan Jones","CLE","RF","MLB","24.4388888",85,7,"30 / 35","50 / 60","70 / 70","40 / 40","50",248,0.36842105,0.46261682,0.18691589,0.125,0.25806452,122.00497239716341,"20529"
"Ivan Herrera","STL","C","MLB","22.3722222",71,3,"50 / 60","40 / 45","50 / 50","50 / 40","50",278,0.37410072,0.39574468,0.12765957,0.13669065,0.18705036,110.86093153085162,"20599"
"Mark Kolozsvary","CIN","C","AAA","27.1138888",,46,"30 / 35","35 / 40","45 / 45","40 / 40","35+",157,0.30322581,0.27906977,0.11627907,0.10828025,0.30573248,65.21034459122345,"21304"
"Ford Proctor","SFG","C","AAA","25.8638888",,14,"50 / 60","30 / 35","40 / 40","45 / 45","40+",459,0.34792123,0.34895833,0.11979166,0.14814815,0.28976035,88.4823536420242,"21634"
"Esteury Ruiz","MIL","CF","MLB","23.6666666",,17,"30 / 35","40 / 40","50 / 50","70 / 70","40",541,0.44736842,0.52631579,0.19450801,0.1219963,0.17375231,155.6318307262988,"21780"
"Jonathan Aranda","TBR","1B","MLB","24.3944444",72,5,"55 / 60","40 / 45","50 / 50","20 / 20","50",465,0.39354839,0.52109181,0.20347394,0.09677419,0.21505376,141.74941665085066,"21837"
"Bo Naylor","CLE","C","MLB","22.65",41,2,"30 / 35","30 / 45","55 / 60","50 / 40","50",510,0.39215686,0.49638554,0.23373494,0.16078431,0.2372549,139.49122135140803,"21865"
"Payton Henry","MIA","C","MLB","25.3083333",,17,"30 / 35","40 / 45","60 / 60","30 / 30","40",109,0.34862385,0.39130435,0.14130435,0.09174312,0.31192661,102.12551775516776,"22164"
"Ryan Vilade","COL","LF","MLB","23.6583333",,41,"50 / 55","40 / 50","55 / 55","40 / 40","35+",441,0.34545455,0.36147757,0.11081794,0.12018141,0.16326531,82.7279525568418,"22165"
"Mark Vientos","NYM","1B","MLB","22.8444444",,8,"30 / 35","50 / 60","70 / 70","40 / 35","45",427,0.35831382,0.51851852,0.23809524,0.1030445,0.28571429,128.79071140880677,"22184"
