Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Justin Topa","MIL","SIRP","MLB","31.6055555",,30,"70 / 70","60 / 60","","","30 / 30","35+",19.2,0.2,0.08888889,0.6,4.118643402060266,4.470890077675418,"15145"
"Brent Honeywell Jr.","OAK","SP","MLB","27.5416666",,24,"50 / 50","","","60 / 60","60 / 60","40",20.1,0.24489796,0.08163265,0.38095238,7.0819683203100485,5.196017497231724,"16466"
"Daniel Duarte","CIN","SIRP","MLB","25.8638888",,33,"60 / 60","60 / 60","","","40 / 40","40",7.2,0.2,0.17142857,0.31818182,9.391300453807808,6.402196324313772,"17480"
"Jorge Guzman","SFG","SIRP","AA","26.7138888",,40,"55 / 55","55 / 55","","45 / 50","30 / 35","35+",17.1,0.3,0.1375,0.56097561,3.6346160511999956,3.8514425404856825,"17505"
"Julian Fernandez","COL","SIRP","MLB","26.8611111",,42,"70 / 70","","","45 / 45","20 / 20","35+",57,0.24904215,0.12260536,0.41290323,6.631578947368421,5.989852141288289,"18341"
"Anderson Espinoza","CHC","SP","AAA","24.6",,49,"55 / 55","","55 / 55","50 / 55","35 / 45","35+",70.1,0.24605678,0.13880126,0.34946237,7.549763579148104,5.329684985059448,"18593"
"Pedro Avila","SDP","SP","MLB","25.7527777",,21,"45 / 45","","45 / 45","55 / 55","45 / 45","35+",112,0.26105263,0.10315789,0.4334471,4.580357142857143,4.588434752023646,"18864"
"Ronel Blanco","HOU","SIRP","MLB","29.125",,27,"60 / 60","50 / 50","40 / 40","30 / 30","30 / 30","35+",44.2,0.31351351,0.1027027,0.44859813,3.6268652586449854,4.030152016293632,"19407"
"Connor Seabold","BOS","SP","MLB","26.725",,7,"40 / 40","50 / 50","45 / 45","55 / 60","55 / 60","45",86.2,0.24722222,0.05277778,0.38075314,3.3230773131241214,4.303717197728319,"19695"
"Joey Wentz","DET","SP","MLB","25.025",,9,"45 / 45","50 / 50","45 / 50","55 / 60","45 / 55","45",53.1,0.26511628,0.10232558,0.40601504,3.037500289678601,4.118168400291675,"19962"
"Ronald Bolanos","KCR","SIRP","AAA","26.1444444",,24,"45 / 45","55 / 55","50 / 50","45 / 45","40 / 45","40",41.2,0.17525773,0.09278351,0.48529412,6.263999235351656,5.1266518929159,"20041"
"Jesus Cruz","ATL","SIRP","-1","27.5",,26,"55 / 55","55 / 55","","50 / 50","30 / 35","35+",27.2,0.32231405,0.1322314,0.33333333,4.2289151767460496,4.504319847801259,"20042"
"Calvin Faucher","TBR","SIRP","MLB","27.0638888",,31,"50 / 50","","70 / 70","","35 / 40","40",43,0.27083333,0.109375,0.45299145,3.558139534883721,4.2079334454480986,"20116"
"Kyle Muller","ATL","SIRP","MLB","25.0222222",,2,"70 / 70","60 / 60","55 / 55","45 / 45","30 / 35","45",134.2,0.29335793,0.07380074,0.45945946,3.4084160990510015,3.485025572116215,"20167"
"Brendan McKay","TBR","SP","AAA","26.825",,65,"30 / 40","","50 / 50","50 / 55","55 / 70","35+",15.1,0.21538462,0.09230769,0.27906977,2.934781346181933,4.662985865419574,"20186"
"Jake Walsh","STL","SIRP","MLB","27.2361111",,20,"60 / 60","","50 / 55","30 / 35","35 / 40","35+",15.1,0.34920635,0.11111111,0.26470588,1.1739132868545545,3.7333255219848946,"20227"
"Deivi Garcia","NYY","SP","MLB","23.4055555",,16,"45 / 45","50 / 55","55 / 55","45 / 55","40 / 50","40+",64,0.2585034,0.10884354,0.34117647,6.890625205356634,5.08751248762133,"20276"
"Jhonathan Diaz","LAA","SP","AAA","26.0888888",,31,"40 / 40","55 / 60","50 / 50","50 / 50","50 / 50","35+",47,0.22222222,0.09661836,0.47328244,4.9787234042553195,5.194296315502614,"20298"
"Alec Bettinger","MIL","SP","-1","27.2555555",,26,"45 / 45","","50 / 55","","50 / 55","35+",34.2,0.12883436,0.12883436,0.38135593,6.490383663121199,6.39438928135977,"20312"
"Riley O'Brien","SEA","SIRP","AAA","27.6916666",,22,"40 / 40","","55 / 60","","45 / 50","35+",39.2,0.23979592,0.15306122,0.56363636,7.033612543492351,5.099053594819218,"20348"
"Zack Kelly","BOS","SIRP","MLB","27.6166666",,34,"60 / 60","","","55 / 60","30 / 35","35+",49.2,0.34449761,0.11961722,0.45283019,2.718120527011894,3.3318116942153906,"20349"
"Greg Weissert","NYY","SIRP","MLB","27.6972222",,22,"","","","","","40",48,0.36842105,0.1,0.47311828,1.6875,3.2968552834043905,"20375"
"Isaac Mattson","BAL","SIRP","-1","27.2527777",,49,"55 / 55","40 / 40","45 / 50","40 / 40","45 / 45","35+",17.2,0.1627907,0.23255814,0.33333333,6.622640317765665,8.244853010318806,"20385"
"Bowden Francis","TOR","SP","AAA","26.4805555",,13,"45 / 45","55 / 55","45 / 45","45 / 50","50 / 55","40",98.1,0.24336283,0.09513274,0.27956989,6.5898308493316575,5.383818771839618,"20548"
"Elvin Rodriguez","DET","SP","AAA","24.5416666",,18,"40 / 45","","50 / 50","50 / 55","40 / 50","40",99.1,0.20634921,0.08163265,0.40893471,4.983221731670904,4.748146031360926,"20962"
"Eduard Bazardo","BOS","SIRP","MLB","27.1222222",,21,"50 / 50","","70 / 70","","30 / 35","40",57.1,0.23529412,0.0745098,0.41954023,3.4534886784654377,4.0476050696163846,"20997"
"Francisco Perez","WSN","SIRP","AAA","25.2361111",,29,"55 / 55","50 / 50","","45 / 50","50 / 55","35+",46.2,0.29901961,0.15686275,0.33018868,4.821428045934618,4.822130200262546,"21018"
"Luis Gil","NYY","SIRP","MLB","24.3666666",,14,"60 / 70","55 / 60","","30 / 40","35 / 40","45",21.2,0.30097087,0.14563107,0.25,7.892306534355378,4.783891569008626,"21052"
"Thomas Szapucki","SFG","MIRP","MLB","26.3416666",,28,"50 / 50","","60 / 60","45 / 45","45 / 45","40",72.1,0.33663366,0.10561056,0.43902439,3.1105992150460176,3.677145260104507,"21065"
"Andre Jackson","LAD","SP","MLB","26.4555555",,17,"50 / 50","","45 / 50","50 / 60","50 / 55","45",75.2,0.21408451,0.17183099,0.46190476,4.995595385257588,6.124058000056211,"21298"
"Jake Latz","TEX","SP","AAA","26.5194444",,30,"40 / 40","45 / 45","","55 / 55","50 / 55","35+",53,0.24279835,0.12757202,0.29530201,5.773584905660377,5.7703490688553405,"21306"
