Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Kevin Padlo","SFG","3B","MLB","25.8027777",,17,"35 / 40","45 / 55","60 / 60","40 / 40","40+",2678,0.35117933,0.44157003,0.20071365,0.13554892,0.25018671,122.25332294315295,"16593"
"Jose Herrera","ARI","C","MLB","25.1944444",,38,"50 / 50","30 / 30","40 / 40","20 / 20","35+",1583,0.34554643,0.3598234,0.11184695,0.12634239,0.18193304,98.35367572744588,"17040"
"Tyler Nevin","BAL","1B","MLB","24.9305555",,42,"50 / 55","40 / 40","50 / 50","30 / 30","35+",1999,0.34884885,0.42938174,0.15655134,0.09854927,0.1825913,117.23138795973806,"17893"
"Jahmai Jones","BAL","2B","AAA","24.75",,31,"45 / 45","40 / 40","50 / 50","60 / 60","40",2464,0.33822929,0.39343504,0.13592233,0.0974026,0.19196429,104.63540359253363,"18872"
"Yonny Hernandez","ARI","SS","AAA","24",,19,"50 / 60","20 / 20","30 / 30","60 / 60","40",1904,0.39400428,0.32434211,0.05855264,0.15231092,0.13655462,115.0905471818309,"19432"
"Cooper Hummel","ARI","C","MLB","27.4333333",,29,"55 / 55","30 / 30","45 / 45","45 / 45","40",1561,0.39409499,0.4369548,0.1776368,0.16207559,0.20563741,134.8715648568675,"19458"
"TJ Friedl","CIN","CF","MLB","26.7222222",,31,"50 / 50","30 / 30","40 / 40","70 / 70","40",1915,0.36621196,0.41429437,0.13991521,0.0997389,0.16971279,120.92226753457979,"19522"
"Simon Muzziotti","PHI","CF","AA","23.3527777",,20,"45 / 50","30 / 40","45 / 50","60 / 60","40",1240,0.31755102,0.34649123,0.07631579,0.06370968,0.11129032,94.60339169010723,"19553"
"Otto Lopez","TOR","2B","AAA","23.5916666",,11,"55 / 60","20 / 30","40 / 45","60 / 60","40",1443,0.37534819,0.42679128,0.1152648,0.08316008,0.13860014,126.94885447780362,"19608"
"Luis Barrera","OAK","CF","AAA","26.4694444",,32,"40 / 45","30 / 30","50 / 50","70 / 70","40",2133,0.33883129,0.40897235,0.12989045,0.08016878,0.18190342,107.06381096747927,"19615"
"Rene Pinto","TBR","C","AAA","25.5055555",,20,"35 / 40","40 / 45","50 / 50","20 / 20","40+",1804,0.33240844,0.43616371,0.15760537,0.06707317,0.19900222,116.74266372691996,"19859"
"Greg Deichmann","CHC","RF","AAA","26.9277777",,22,"35 / 40","45 / 50","70 / 70","45 / 45","40+",1155,0.34285714,0.42885772,0.18336674,0.12554113,0.27012987,112.54012456191285,"19872"
"Connor Wong","BOS","C","AAA","25.9583333",,23,"30 / 35","40 / 45","50 / 50","50 / 50","40",1212,0.33278282,0.49773345,0.22574796,0.0709571,0.3019802,124.34306010492227,"19896"
"Diego Castillo","PIT","2B","MLB","24.5166666",,17,"60 / 60","40 / 40","40 / 40","40 / 40","40+",2366,0.32649573,0.36635514,0.09626168,0.07100592,0.10693153,99.9087108854654,"19906"
"Cristian Pache","OAK","CF","MLB","23.4583333",74,3,"35 / 40","40 / 45","50 / 55","60 / 60","50",2137,0.33035714,0.40558376,0.12538071,0.06785213,0.2077679,108.38488057209912,"19948"
"Josh Lowe","TBR","CF","AAA","24.2555555",46,2,"35 / 40","45 / 55","60 / 60","60 / 60","50",2165,0.3454039,0.42758253,0.16666666,0.11362587,0.26558891,118.50561301261588,"19953"
"Mickey Moniak","PHI","CF","MLB","23.975",,23,"50 / 50","30 / 35","45 / 45","55 / 55","40",2081,0.30120482,0.40104987,0.14855643,0.06006728,0.21912542,98.10441727140082,"19956"
"Colton Welker","COL","3B","AAA","24.5694444",,20,"55 / 60","35 / 40","50 / 50","30 / 30","40",1548,0.36263736,0.47016535,0.16175414,0.07751938,0.17571059,126.51456407809742,"19961"
"Jared Oliva","PIT","CF","AAA","26.4361111",,34,"40 / 40","40 / 45","55 / 55","60 / 60","40",1464,0.34299517,0.39612403,0.12635659,0.08060109,0.21789617,114.48671787254412,"19968"
"Kevin Smith","OAK","SS","MLB","25.8333333",,23,"30 / 35","45 / 50","55 / 55","55 / 55","40",1736,0.32794457,0.49044586,0.22292994,0.07546083,0.25288018,125.70755883198272,"20242"
"Mario Feliciano","MIL","C","AAA","23.4555555",,27,"45 / 45","35 / 40","50 / 55","30 / 30","35+",1393,0.312455,0.38778747,0.13481364,0.06460876,0.23546303,99.02901623630892,"20263"
"Stuart Fairchild","ARI","CF","MLB","26.1305555",,27,"40 / 45","35 / 45","50 / 50","55 / 55","40",1400,0.36,0.43944354,0.16448446,0.095,0.205,122.02153655508165,"20321"
"Vidal Brujan","TBR","2B","AAA","24.2361111",56,4,"50 / 65","30 / 45","45 / 50","70 / 70","50",2224,0.37098961,0.42151312,0.13381369,0.10611511,0.11915468,129.68340504950612,"20536"
"Jose Miranda","MIN","3B","MLB","23.8472222",88,3,"50 / 55","45 / 50","55 / 55","40 / 40","50",2086,0.33973129,0.44526705,0.16287678,0.063279,0.1198466,119.26079200536559,"20538"
"Elehuris Montero","COL","3B","AAA","23.7138888",,6,"30 / 50","35 / 50","55 / 60","30 / 30","45",2019,0.34390486,0.44094488,0.16985377,0.09014364,0.21248143,119.55938689494751,"20543"
"Alejo Lopez","CIN","2B","MLB","25.9972222",,40,"60 / 60","20 / 20","30 / 30","45 / 45","35+",1745,0.37521614,0.39489194,0.09233791,0.08997135,0.10888252,114.99050398110452,"21127"
"Mark Kolozsvary","CIN","C","AAA","26.6666666",,39,"30 / 35","35 / 40","45 / 45","40 / 40","35+",943,0.33014862,0.35272277,0.12995049,0.09862142,0.2757158,97.61192925726333,"21304"
"Joey Bart","SFG","C","MLB","25.3861111",115,6,"30 / 30","45 / 50","60 / 60","30 / 30","50",845,0.34792899,0.51235371,0.22496749,0.06508876,0.23668639,129.47742927595377,"21524"
"Matt Vierling","PHI","CF","MLB","25.6333333",,5,"50 / 50","40 / 40","55 / 55","50 / 50","45",1078,0.33209302,0.40501044,0.13778706,0.07699443,0.18367347,110.31062775454859,"21558"
"Alfonso Rivas","CHC","1B","MLB","25.6416666",,43,"50 / 55","40 / 40","50 / 50","40 / 40","35+",1037,0.39344262,0.41075515,0.12242563,0.1340405,0.20540019,128.5621113367023,"21560"
"Romy Gonzalez","CHW","SS","AAA","25.6611111",,5,"30 / 30","40 / 45","55 / 55","55 / 55","45",1032,0.34143969,0.45934066,0.1978022,0.09593023,0.27616279,120.03590331450825,"21562"
"Jake McCarthy","ARI","CF","AAA","24.7611111",,26,"40 / 45","35 / 40","50 / 50","60 / 60","40",835,0.34730539,0.45822102,0.18867924,0.09221557,0.2251497,114.98411801860634,"21622"
"Jeremy Pena","HOU","SS","MLB","24.6166666",31,0,"40 / 50","30 / 40","45 / 45","55 / 55","55",790,0.37135615,0.44347826,0.15217391,0.09240506,0.18987342,130.62094351263545,"21636"
"Oneil Cruz","PIT","SS","AAA","23.5833333",8,1,"30 / 40","40 / 70","80 / 80","60 / 45","60",1686,0.34204276,0.46320631,0.1826544,0.08540925,0.2485172,127.18869404476912,"21711"
"Rodolfo Castro","PIT","2B","AAA","22.9527777",,35,"30 / 30","40 / 45","60 / 60","55 / 55","40",1678,0.30750751,0.43608522,0.18774967,0.0727056,0.23837902,109.30042355502451,"21987"
"Ryan Vilade","COL","LF","AAA","23.2111111",,3,"50 / 55","40 / 50","55 / 55","40 / 40","45",1784,0.36038593,0.42230819,0.13346228,0.09529148,0.17600897,111.08808786385009,"22165"
