Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Justin Topa","MIL","SIRP","AAA","31.4138888",,30,"70 / 70","60 / 60","","","30 / 30","35+",15,0.27118644,0.06779661,0.74285714,2.4,2.827520360549291,"15145"
"Brent Honeywell Jr.","OAK","SP","MLB","27.35",,29,"50 / 50","","","60 / 60","60 / 60","40",81.2,0.2,0.07164179,0.41350211,3.9673474329544294,4.780284971214595,"16466"
"Daniel Duarte","CIN","SIRP","MLB","25.6722222",,35,"60 / 60","60 / 60","","","40 / 40","40",23.2,0.31372549,0.11764706,0.375,4.563381507599927,3.8932586743881377,"17480"
"Jorge Guzman","SFG","SIRP","AA","26.5222222",,41,"55 / 55","55 / 55","","45 / 50","30 / 35","35+",15.1,0.28571429,0.12857143,0.3,3.521739860563664,4.6003559727397905,"17505"
"Joey Murray","TOR","MIRP","AA","25.8694444",,22,"50 / 50","50 / 55","50 / 50","40 / 45","40 / 45","40",0.2,0.2,0.4,,26.99986401268786,,"sa3007234"
"Julian Fernandez","COL","SIRP","AAA","26.6694444",,46,"70 / 70","","","45 / 45","20 / 20","35+",42.2,0.23728814,0.09039548,0.36521739,2.531249811407193,4.6886222335227865,"18341"
"Anderson Espinoza","CHC","SP","MLB","24.4083333",,51,"55 / 55","","55 / 55","50 / 55","35 / 45","35+",58,0.3187251,0.12749004,0.40769231,4.189655172413793,4.041518323765011,"18593"
"Pedro Avila","SDP","SP","AAA","25.5611111",,26,"45 / 45","","45 / 45","55 / 55","45 / 45","35+",74.2,0.25076453,0.11009174,0.42051282,4.2187504669918,5.031044930176156,"18864"
"Kirby Snead","OAK","SIRP","MLB","27.8305555",,43,"45 / 45","55 / 55","","45 / 50","45 / 45","35+",40,0.36075949,0.10126582,0.63291139,1.575,2.364951352030039,"19179"
"Ronel Blanco","HOU","SIRP","AAA","28.9333333",,28,"60 / 60","50 / 50","40 / 40","30 / 30","30 / 30","35+",45,0.31666667,0.08888889,0.40384615,3.4,4.3574272804790075,"19407"
"Jason Foley","DET","SIRP","MLB","26.7638888",,19,"60 / 60","45 / 45","","","40 / 40","40",34.2,0.23529412,0.12418301,0.56043956,4.413460890922416,4.352244406328068,"19531"
